list-none-m,8,1000,16,24000,13298317,554,83
list-none-s,8,1000,16,24000,12556028,523,260
list-none-m,12,1000,1,36000,352677988,9796,382146
list-none-s,12,1000,1,36000,19027177,528,243036
list-none-m,12,1000,4,36000,109077484,3029,21268
list-none-s,12,1000,4,36000,95415098,2650,14710
list-none-m,12,1000,8,36000,50217029,1394,4971
list-none-s,12,1000,8,36000,28495980,791,2394
list-none-m,12,1000,16,36000,10117114,281,93
list-none-s,12,1000,16,36000,10374418,288,314
