list-none-none,1,10,1,30,202616,6753
list-none-none,1,100,1,300,247599,825
list-none-none,1,1000,1,3000,5837026,1945
list-none-none,1,10000,1,30000,843879713,28129
list-none-none,1,20000,1,60000,389141981,6485
list-none-none,2,1,1,6,209845,34974
list-none-none,2,10,1,60,223294,3721
list-none-none,4,1,1,12,359717,29976
list-none-none,4,10,1,120,339143,2826
list-none-none,8,1,1,24,1302732,54280
list-none-none,8,10,1,240,498021,2075
list-none-none,12,1,1,36,1406616,39072
list-none-none,12,10,1,360,1069404,2970
list-i-none,2,1,1,6,263638,43939
list-d-none,2,1,1,6,246234,41039
list-il-none,2,1,1,6,223124,37187
list-dl-none,2,1,1,6,219175,36529
list-i-none,2,2,1,12,222003,18500
list-d-none,2,2,1,12,247380,20615
list-il-none,2,2,1,12,239159,19929
list-dl-none,2,2,1,12,225227,18768
list-i-none,2,4,1,24,215937,8997
list-d-none,2,4,1,24,200668,8361
list-il-none,2,4,1,24,244565,10190
list-il-none,2,8,1,48,286569,5970
list-dl-none,2,8,1,48,831924,17331
list-i-none,2,16,1,96,297820,3102
list-d-none,2,16,1,96,317765,3310
list-dl-none,2,16,1,96,273212,2845
list-i-none,4,1,1,12,328813,27401
list-d-none,4,1,1,12,297953,24829
list-il-none,4,1,1,12,322778,26898
list-dl-none,4,1,1,12,1057864,88155
list-i-none,4,2,1,24,353336,14722
list-il-none,4,2,1,24,685926,28580
list-dl-none,4,2,1,24,331348,13806
list-i-none,4,4,1,48,1060662,22097
list-il-none,4,4,1,48,355225,7400
list-dl-none,4,4,1,48,1086651,22638
list-d-none,4,8,1,96,349350,3639
list-dl-none,4,8,1,96,375136,3907
list-d-none,4,16,1,192,324730,1691
list-dl-none,4,16,1,192,380336,1980
list-i-none,8,1,1,24,537886,22411
list-il-none,8,1,1,24,618248,25760
list-dl-none,8,1,1,24,1062618,44275
list-i-none,8,2,1,48,1193548,24865
list-i-none,8,4,1,96,1288910,13426
list-d-none,8,4,1,96,1116941,11634
list-il-none,8,4,1,96,1988917,20717
list-dl-none,8,4,1,96,1240766,12924
list-i-none,8,8,1,192,1393799,7259
list-d-none,8,8,1,192,1266911,6598
list-i-none,12,1,1,36,785720,21825
list-d-none,12,1,1,36,1227511,34097
list-il-none,12,1,1,36,2385889,66274
list-dl-none,12,1,1,36,1827086,50752
list-i-none,12,2,1,72,1612305,22393
list-il-none,12,2,1,72,1468402,20394
list-dl-none,12,4,1,144,1024655,7115
list-d-none,12,8,1,288,1415851,4916
list-i-m,12,1,1,36,1485977,41277
list-i-s,12,1,1,36,1013213,28144
list-d-m,12,1,1,36,2207665,61324
list-d-s,12,1,1,36,2018340,56065
list-il-m,12,1,1,36,2273470,63151
list-il-s,12,1,1,36,1441553,40043
list-dl-m,12,1,1,36,1318193,36616
list-dl-s,12,1,1,36,2087345,57981
list-i-m,12,2,1,72,1517915,21082
list-i-s,12,2,1,72,1344741,18676
list-d-m,12,2,1,72,1363396,18936
list-d-s,12,2,1,72,1392054,19334
list-il-m,12,2,1,72,1945075,27014
list-il-s,12,2,1,72,1570783,21816
list-dl-m,12,2,1,72,1982610,27536
list-dl-s,12,2,1,72,1857903,25804
list-i-m,12,4,1,144,1215578,8441
list-i-s,12,4,1,144,6074321,42182
list-d-m,12,4,1,144,1528826,10616
list-d-s,12,4,1,144,2172602,15087
list-il-m,12,4,1,144,2046279,14210
list-il-s,12,4,1,144,1445061,10035
list-dl-m,12,4,1,144,1868664,12976
list-dl-s,12,4,1,144,1231398,8551
list-i-m,12,8,1,288,865205,3004
list-i-s,12,8,1,288,1448902,5030
list-d-m,12,8,1,288,1855327,6442
list-d-s,12,8,1,288,1419266,4928
list-il-m,12,8,1,288,1548808,5377
list-il-s,12,8,1,288,1497678,5200
list-dl-m,12,8,1,288,1351513,4692
list-dl-s,12,8,1,288,2145589,7449
list-i-m,12,16,1,576,1394405,2420
list-i-s,12,16,1,576,1427763,2478
list-d-m,12,16,1,576,1830671,3178
list-d-s,12,16,1,576,1714067,2975
list-il-m,12,16,1,576,2264476,3931
list-il-s,12,16,1,576,6406487,11122
list-dl-m,12,16,1,576,2063819,3583
list-dl-s,12,16,1,576,1444056,2507
list-i-m,12,32,1,1152,964678,837
list-i-s,12,32,1,1152,1928471,1674
list-d-m,12,32,1,1152,826648,717
list-d-s,12,32,1,1152,2833591,2459
list-il-m,12,32,1,1152,1599206,1388
list-il-s,12,32,1,1152,1534676,1332
list-dl-m,12,32,1,1152,2295555,1992
list-dl-s,12,32,1,1152,1479379,1284
list-none-s,1,1000,1,3000,3824760,1274
list-none-m,1,1000,1,3000,3823979,1274
list-none-s,2,1000,1,6000,11646768,1941
list-none-m,2,1000,1,6000,11785686,1964
list-none-s,4,1000,1,12000,24915142,2076
list-none-m,4,1000,1,12000,24181026,2015
list-none-s,8,1000,1,24000,69446358,2893
list-none-m,8,1000,1,24000,67076010,2794
list-none-s,12,1000,1,36000,86463052,2401
list-none-m,12,1000,1,36000,81117479,2253
list-none-s,16,1000,1,48000,179296268,3735
list-none-m,16,1000,1,48000,171589873,3574
list-none-s,24,1000,1,72000,296838409,4122
list-none-m,24,1000,1,72000,230109118,3195
